"","player.name","type.name","location.x","location.y","cluster"
"27020","Francisco Román Alarcón Suárez","Pass",90,26,3
"27021","Marco Asensio Willemsen","Pass",82,53,3
"27022","Sergio Busquets i Burgos","Pass",84,38,1
"27023","Aleksandr Golovin","Pass",33,45,2
"27024","Aleksandr Golovin","Pass",39,68,2
"27025","Roman Zobnin","Pass",25,78,2
"27026","Jorge Resurrección Merodio","Pass",67,35,1
"27027","Jorge Resurrección Merodio","Pass",65,51,1
"27028","Francisco Román Alarcón Suárez","Pass",100,7,3
"27029","Aleksandr Golovin","Pass",19,65,2
"27030","Aleksandr Golovin","Pass",21,64,2
"27031","Roman Zobnin","Pass",28,74,2
"27032","Jorge Resurrección Merodio","Pass",78,27,1
"27033","Marco Asensio Willemsen","Pass",74,47,3
"27034","Francisco Román Alarcón Suárez","Pass",113,17,3
"27035","Sergio Busquets i Burgos","Pass",55,28,1
"27036","Daler Kuzyaev","Pass",11,56,2
"27037","Aleksandr Golovin","Pass",16,61,2
"27038","Roman Zobnin","Pass",29,69,2
"27039","Sergio Busquets i Burgos","Pass",67,29,1
"27040","Andrés Iniesta Luján","Pass",66,30,2
"27041","Jorge Resurrección Merodio","Pass",68,38,1
"27042","Andrés Iniesta Luján","Pass",73,39,2
"27043","Marco Asensio Willemsen","Pass",82,36,3
"27044","Jorge Resurrección Merodio","Pass",64,43,1
"27045","Francisco Román Alarcón Suárez","Dribble",100,15,3
"27046","Francisco Román Alarcón Suárez","Pass",92,19,3
"27047","Jorge Resurrección Merodio","Pass",81,43,1
"27048","Sergio Busquets i Burgos","Pass",82,43,1
"27049","Daler Kuzyaev","Pass",31,50,2
"27050","Aleksandr Golovin","Pass",34,54,2
"27051","Sergio Busquets i Burgos","Pass",86,37,1
"27052","Francisco Román Alarcón Suárez","Pass",93,39,3
"27053","Sergio Busquets i Burgos","Pass",92,35,1
"27054","Marco Asensio Willemsen","Pass",106,8,3
